-679214.78,2460.04,143,104,0.15
-667297.9,4613.67,144,104,0.15
-667297.9,4613.67,144,104,0.15
-680504.34,5.72,143,104,0.15
-680504.34,5.72,143,104,0.15
-681604.31,1152.83,143,104,0.15
-676433.31,5093.68,143,104,0.15
-778700.89,-121869.04,135,93,0.15
-679717.61,-6781.64,143,103,0.15
-666023.64,5630.69,144,104,0.15
-665994.77,6133.53,144,104,0.15
-666861.21,5590.37,144,104,0.15
-692982.73,-142947.04,142,92,0.15
-675744.54,6217.1,143,104,0.15
-680139,-5513.42,143,103,0.15
-680476.05,302.6,143,104,0.15
-787168.45,-179103.67,134,89,0.15
-677464.3,96643.66,143,112,0.15
-932906.62,-150089.61,122,91,0.15
-932906.62,-150089.61,122,91,0.15
-671058.55,-95630.4,144,96,0.15
-679785.49,-1377.75,143,103,0.15
-677099.72,-96203.65,143,95,0.15
-679670.82,-5663.41,143,103,0.15
-679991.17,-5917.65,143,103,0.15
-665994.77,6133.53,144,104,0.15
-679675.08,-1084.68,143,103,0.15
-679731.83,-2193.82,143,103,0.15
-671403.04,-90808.35,144,96,0.15
-675916.01,4977.95,143,104,0.15
-678937.06,5429.8,143,104,0.15
-681091.8,38.47,143,104,0.15
-679552.56,5571.95,143,104,0.15
-679421.72,-93.68,143,103,0.15
-665994.77,6133.53,144,104,0.15
-679785.49,-1377.75,143,103,0.15
-679683.22,-1291.98,143,103,0.15
-949204.65,-170018.63,120,89,0.15
-691912.94,-145812.19,142,91,0.15
-717553.51,18530.74,140,105,0.15
-680755.45,-866.46,143,103,0.15
-680753.27,-845.67,143,103,0.15
-679571.13,-260.1,143,103,0.15
-673043.23,5762.71,143,104,0.15
-678958.28,-3740.18,143,103,0.15
-672213.57,4935.94,143,104,0.15
-657108.69,-166543.67,145,90,0.15
-672339.48,-93944.76,143,96,0.15
-672339.48,-93944.76,143,96,0.15
-675094.74,-70283.67,143,98,0.15
-671442.37,-95627.86,144,96,0.15
-699829.72,43058.66,141,107,0.15
-678930.29,-3721.12,143,103,0.15
-679617.27,-2560.03,143,103,0.15
-681059.19,-222.17,143,103,0.15
-667380.37,5757.27,144,104,0.15
-679683.1,-3003.01,143,103,0.15
-673335.07,-102199.98,143,95,0.15
-676217.78,6535.09,143,104,0.15
-679313.1,-3562.37,143,103,0.15
-668205.19,-99644.68,144,95,0.15
-678901.51,5396.69,143,104,0.15
-674473.97,16702.76,143,105,0.15
-683553.96,5222.44,143,104,0.15
-778800.7,-121543.97,135,93,0.15
-669255.8,-99958.31,144,95,0.15
-672187.89,-93956.84,143,96,0.15
-676217.78,6535.09,143,104,0.15
-678565.8,-2370.48,143,103,0.15
-676217.78,6535.09,143,104,0.15
-676217.78,6535.09,143,104,0.15
-676217.78,6535.09,143,104,0.15
-676217.78,6535.09,143,104,0.15
-676217.78,6535.09,143,104,0.15
-676217.78,6535.09,143,104,0.15
-676217.78,6535.09,143,104,0.15
-679666.98,-2571.74,143,103,0.15
-679666.98,-2571.74,143,103,0.15
-679666.98,-2571.74,143,103,0.15
-669919.06,-87195.43,144,96,0.15
-679666.98,-2571.74,143,103,0.15
-679666.98,-2571.74,143,103,0.15
-671696.72,-95766.08,144,96,0.15
-668636.74,-103374.83,144,95,0.15
-667124.95,6104.27,144,104,0.15
-669168.9,-97817.95,144,95,0.15
-673099.59,3892.88,143,104,0.15
-671404.17,-103965.05,144,95,0.15
-666203.19,3174.49,144,104,0.15
-666239.91,3144.6,144,104,0.15
-678951.64,-5458.76,143,103,0.15
-671571.52,-96044.78,144,95,0.15
-667844.88,-104590.57,144,95,0.15
-699487.2,33508.76,141,106,0.15
-695496.38,33369.57,142,106,0.15
-676971.98,19236.35,143,105,0.15
-680443.55,-1096.39,143,103,0.15
-681059.19,-222.17,143,103,0.15
-666861.21,5590.37,144,104,0.15
-687366.76,6122.47,142,104,0.15
-683206.88,28173.28,143,106,0.15
-693403.25,39018.95,142,107,0.15
-693937.24,35854.02,142,106,0.15
-671012.04,-89852.01,144,96,0.15
-678945.12,-5429.36,143,103,0.15
-672328.69,4044.14,143,104,0.15
